SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_EYE,TOKYO_LAT,TOKYO_LON,TOKYO_GRADE,TOKYO_WIND,TOKYO_PRES,TOKYO_R50_DIR,TOKYO_R50_LONG,TOKYO_R50_SHORT,TOKYO_R30_DIR,TOKYO_R30_LONG,TOKYO_R30_SHORT,TOKYO_LAND,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,HKO_LAT,HKO_LON,HKO_CAT,HKO_WIND,HKO_PRES,NEWDELHI_LAT,NEWDELHI_LON,NEWDELHI_GRADE,NEWDELHI_WIND,NEWDELHI_PRES,NEWDELHI_CI,NEWDELHI_DP,NEWDELHI_POCI,REUNION_LAT,REUNION_LON,REUNION_TYPE,REUNION_WIND,REUNION_PRES,REUNION_TNUM,REUNION_CI,REUNION_RMW,REUNION_R34_NE,REUNION_R34_SE,REUNION_R34_SW,REUNION_R34_NW,REUNION_R50_NE,REUNION_R50_SE,REUNION_R50_SW,REUNION_R50_NW,REUNION_R64_NE,REUNION_R64_SE,REUNION_R64_SW,REUNION_R64_NW,BOM_LAT,BOM_LON,BOM_TYPE,BOM_WIND,BOM_PRES,BOM_TNUM,BOM_CI,BOM_RMW,BOM_R34_NE,BOM_R34_SE,BOM_R34_SW,BOM_R34_NW,BOM_R50_NE,BOM_R50_SE,BOM_R50_SW,BOM_R50_NW,BOM_R64_NE,BOM_R64_SE,BOM_R64_SW,BOM_R64_NW,BOM_ROCI,BOM_POCI,BOM_EYE,BOM_POS_METHOD,BOM_PRES_METHOD,NADI_LAT,NADI_LON,NADI_CAT,NADI_WIND,NADI_PRES,WELLINGTON_LAT,WELLINGTON_LON,WELLINGTON_WIND,WELLINGTON_PRES,DS824_LAT,DS824_LON,DS824_STAGE,DS824_WIND,DS824_PRES,TD9636_LAT,TD9636_LON,TD9636_STAGE,TD9636_WIND,TD9636_PRES,TD9635_LAT,TD9635_LON,TD9635_WIND,TD9635_PRES,TD9635_ROCI,NEUMANN_LAT,NEUMANN_LON,NEUMANN_CLASS,NEUMANN_WIND,NEUMANN_PRES,MLC_LAT,MLC_LON,MLC_CLASS,MLC_WIND,MLC_PRES,USA_GUST,BOM_GUST,BOM_GUST_PER,REUNION_GUST,REUNION_GUST_PER,USA_SEAHGT,USA_SEARAD_NE,USA_SEARAD_SE,USA_SEARAD_SW,USA_SEARAD_NW,STORM_SPEED,STORM_DIR,wind_knots,pressure_mb,wind_kmh,year,month,dist_to_land_km,imd_category,pressure_change,lat_change,lon_change,category_num
1970324N05143,1970,151,NI,BB,RUTH,1970-11-29 12:00:00,TS,9.4,99.88,,,,main,24,22.0,_OO_______O___,,,,,,,,,-5,,,,,,,,,,,,,,,,,9.3,99.8,2.0,,1002.0,0.0,,,0.0,,,0.0,9.6,100.0,0.0,19.0,1002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,294.0,19.0,1002.0,35.188,1970,11,44.448,Depression,,,,2
1972244N12123,1972,87,NI,BB,ELSIE,1972-09-06 15:00:00,TS,14.5974,99.8663,,,,main,0,0.0,_PP___________,,WP171972,,,,,,,-5,,,,,,,,,,,,,,,,,14.4423,99.7125,2.0,,1002.0,0.0,,,0.0,,,,14.7525,100.02,0.0,17.0,1002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,272.0,17.0,1002.0,31.484,1972,9,0.0,Depression,,,,2
1972244N12123,1972,87,NI,BB,ELSIE,1972-09-06 18:00:00,TS,14.5,99.55,,,,main,0,0.0,_OO___________,,,,,,,,,-5,,,,,,,,,,,,,,,,,14.4,99.5,2.0,,1004.0,0.0,,,0.0,,,0.0,14.6,99.6,0.0,17.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,248.0,17.0,1004.0,31.484,1972,9,0.0,Depression,2.0,-0.09740000000000038,-0.31629999999999825,2
1972244N12123,1972,87,NI,BB,ELSIE,1972-09-06 21:00:00,TS,14.3613,99.2674,,,,main,0,0.0,_PP___________,,,,,,,,,-5,,,,,,,,,,,,,,,,,14.3901,99.2625,2.0,,1004.0,0.0,,,0.0,,,,14.3325,99.2724,0.0,17.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,241.0,17.0,1004.0,31.484,1972,9,0.0,Depression,0.0,-0.13870000000000005,-0.2826000000000022,2
1972244N12123,1972,87,NI,BB,ELSIE,1972-09-07 00:00:00,TS,14.2,99.0,,,,main,0,,_OO___________,,,,,,,,,-5,,,,,,,,,,,,,,,,,14.4,99.0,2.0,,1004.0,0.0,,,0.0,,,0.0,14.0,99.0,0.0,17.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,238.0,17.0,1004.0,31.484,1972,9,0.0,Depression,0.0,-0.16130000000000067,-0.267399999999995,2
1972335N08116,1972,132,NI,BB,SALLY,1972-12-04 15:00:00,TS,9.95117,99.6843,,,,main,49,24.0,PPPP_____PPP__,,WP301972,9.99997,99.72,,,50.0,,0,,,,,,,,,,,,,,,,,9.87771,99.1652,9.0,,1004.0,0.0,,,0.0,,,,9.90051,99.4977,3.0,38.0,999.0,9.81496,99.9425,STS,45.0,997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99997,99.72,TC,50.0,,10.0284,99.7649,2.0,51.0,,9.99997,99.72,50.0,1001.0,90.0,,,,,,,,,,,,,,,,,,,,,6.0,274.0,50.0,1004.0,92.60000000000001,1972,12,90.748,Severe Cyclonic Storm,,,,5
1972335N08116,1972,132,NI,BB,SALLY,1972-12-04 18:00:00,TS,9.96654,99.3895,,,,main,24,15.0,OOOO_____OPO__,jtwc_wp,WP301972,10.0,99.5,,,45.0,,0,,,,,,,,,,,,,,,,,10.0,98.6,9.0,,1008.0,0.0,,,0.0,,,0.0,10.0,98.9,1.0,29.0,1000.0,9.8,99.7,TS,40.0,998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,99.5,TC,45.0,,10.0324,99.5599,2.0,47.0,,10.0,99.5,45.0,1003.0,60.0,,,,,,,,,,,,,,,,,,,,,4.0,269.0,45.0,1008.0,83.34,1972,12,44.448,Cyclonic Storm,4.0,0.015370000000000772,-0.29479999999999507,4
1977194N06142,1977,53,NI,BB,SARAH,1977-07-22 09:00:00,TS,21.7761,98.8512,,,,main,0,0.0,_PP___________,,,,,,,,,-5,,,,,,,,,,,,,,,,,21.038,101.465,2.0,,993.0,0.0,,,0.0,,,,22.5142,96.2372,1.0,23.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,286.0,23.0,993.0,42.596000000000004,1977,7,0.0,Depression,,,,2
1977194N06142,1977,53,NI,BB,SARAH,1977-07-22 12:00:00,TS,22.05,97.95,,996.0,tokyo,main,0,,_OO___________,,,,,,,,,-5,,,,,,,,,,,,,,,,,21.1,100.9,2.0,,996.0,0.0,,,0.0,,,0.0,23.0,95.0,1.0,23.0,995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,288.0,23.0,996.0,42.596000000000004,1977,7,0.0,Depression,3.0,0.27390000000000114,-0.9012000000000029,2
1979205N10148,1979,59,NI,BB,HOPE,1979-08-04 06:00:00,TS,20.4417,99.3426,,1000.0,tokyo,main,0,0.0,OO_______OP___,jtwc_wp,WP091979,20.7,99.2,,,20.0,,-1,,,,,,,,,,,,,,,,,19.5,100.0,2.0,,1000.0,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,99.2,TC,20.0,,20.6313,99.1349,1.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,272.0,20.0,1000.0,37.04,1979,8,0.0,Depression,,,,2
