date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,rain_sum,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,city,latitude,longitude
2019-01-01,33.7,21.8,26.4,0.0,0.0,0.0,21.6,42.5,72,Mangalore,12.9141,74.856
2019-01-02,34.0,21.0,25.8,0.0,0.0,0.0,20.9,43.9,110,Mangalore,12.9141,74.856
2019-01-03,32.5,20.5,25.4,0.0,0.0,0.0,19.7,43.9,49,Mangalore,12.9141,74.856
2019-01-04,34.0,20.0,26.3,0.0,0.0,0.0,17.7,36.4,83,Mangalore,12.9141,74.856
2019-01-05,34.8,20.7,26.1,0.0,0.0,0.0,18.8,41.4,102,Mangalore,12.9141,74.856
2019-01-06,30.5,20.0,24.9,0.0,0.0,0.0,17.1,39.6,343,Mangalore,12.9141,74.856
2019-01-07,33.0,19.9,25.6,0.0,0.0,0.0,18.1,42.1,151,Mangalore,12.9141,74.856
2019-01-08,32.0,21.7,25.9,0.0,0.0,0.0,17.3,40.0,358,Mangalore,12.9141,74.856
2019-01-09,31.8,20.0,25.4,0.0,0.0,0.0,17.4,39.2,138,Mangalore,12.9141,74.856
2019-01-10,30.7,20.0,25.3,0.0,0.0,0.0,16.6,37.8,168,Mangalore,12.9141,74.856
2019-01-11,30.9,21.5,25.6,0.0,0.0,0.0,15.3,36.0,286,Mangalore,12.9141,74.856
2019-01-12,30.3,22.0,25.9,0.0,0.0,0.0,15.8,37.8,347,Mangalore,12.9141,74.856
2019-01-13,32.0,21.0,26.1,0.0,0.0,0.0,19.1,43.9,165,Mangalore,12.9141,74.856
2019-01-14,33.7,20.5,25.9,0.0,0.0,0.0,16.9,39.2,145,Mangalore,12.9141,74.856
2019-01-15,33.8,20.0,25.6,0.0,0.0,0.0,17.6,41.0,106,Mangalore,12.9141,74.856
2019-01-16,34.0,20.0,25.8,0.0,0.0,0.0,18.9,41.0,70,Mangalore,12.9141,74.856
2019-01-17,33.1,19.5,25.6,0.0,0.0,0.0,18.1,40.3,79,Mangalore,12.9141,74.856
2019-01-18,32.2,20.1,25.3,0.0,0.0,0.0,17.7,40.3,181,Mangalore,12.9141,74.856
2019-01-19,31.9,20.5,25.4,0.0,0.0,0.0,17.9,40.7,37,Mangalore,12.9141,74.856
2019-01-20,33.1,19.8,26.0,0.0,0.0,0.0,17.3,38.9,98,Mangalore,12.9141,74.856
2019-01-21,30.0,20.5,24.9,0.0,0.0,0.0,15.0,35.3,359,Mangalore,12.9141,74.856
2019-01-22,29.2,21.1,25.0,0.0,0.0,0.0,15.3,35.6,318,Mangalore,12.9141,74.856
2019-01-23,29.8,22.0,25.7,0.0,0.0,0.0,21.0,46.4,336,Mangalore,12.9141,74.856
2019-01-24,29.4,22.5,25.8,0.3,0.3,2.0,21.5,47.5,336,Mangalore,12.9141,74.856
2019-01-25,29.5,22.9,25.7,0.1,0.1,1.0,22.0,48.2,337,Mangalore,12.9141,74.856
2019-01-26,29.0,22.8,25.5,0.0,0.0,0.0,18.1,41.0,337,Mangalore,12.9141,74.856
2019-01-27,29.1,21.6,25.1,0.0,0.0,0.0,18.6,38.2,336,Mangalore,12.9141,74.856
2019-01-28,29.6,19.4,25.0,0.0,0.0,0.0,16.2,37.4,308,Mangalore,12.9141,74.856
2019-01-29,32.2,21.6,26.3,0.0,0.0,0.0,18.0,40.7,20,Mangalore,12.9141,74.856
2019-01-30,32.2,21.9,26.5,0.0,0.0,0.0,20.4,43.9,150,Mangalore,12.9141,74.856
2019-01-31,31.5,20.7,26.1,0.0,0.0,0.0,20.9,45.0,177,Mangalore,12.9141,74.856
2019-02-01,31.6,22.1,26.2,0.0,0.0,0.0,18.0,41.0,248,Mangalore,12.9141,74.856
2019-02-02,32.0,21.9,26.2,0.0,0.0,0.0,18.5,41.0,259,Mangalore,12.9141,74.856
2019-02-03,31.3,21.0,26.0,0.0,0.0,0.0,16.6,37.8,191,Mangalore,12.9141,74.856
2019-02-04,32.8,21.4,26.5,0.0,0.0,0.0,19.6,45.0,179,Mangalore,12.9141,74.856
2019-02-05,33.3,22.8,27.4,0.0,0.0,0.0,18.1,41.4,214,Mangalore,12.9141,74.856
2019-02-06,30.6,22.8,26.8,0.0,0.0,0.0,16.3,36.7,264,Mangalore,12.9141,74.856
2019-02-07,30.9,24.2,27.3,0.0,0.0,0.0,20.7,42.5,327,Mangalore,12.9141,74.856
2019-02-08,30.1,24.1,26.9,0.0,0.0,0.0,24.7,52.2,332,Mangalore,12.9141,74.856
2019-02-09,31.4,23.6,27.0,0.0,0.0,0.0,17.7,35.6,321,Mangalore,12.9141,74.856
2019-02-10,30.6,23.0,26.6,0.0,0.0,0.0,16.2,38.9,325,Mangalore,12.9141,74.856
2019-02-11,32.2,22.2,27.3,0.1,0.1,1.0,13.2,32.0,323,Mangalore,12.9141,74.856
2019-02-12,34.8,23.0,27.8,0.0,0.0,0.0,21.5,47.9,18,Mangalore,12.9141,74.856
2019-02-13,35.3,23.1,27.9,0.0,0.0,0.0,19.5,45.0,70,Mangalore,12.9141,74.856
2019-02-14,33.2,22.8,27.4,0.0,0.0,0.0,21.3,47.5,226,Mangalore,12.9141,74.856
2019-02-15,32.1,24.1,27.2,0.0,0.0,0.0,18.4,38.2,323,Mangalore,12.9141,74.856
2019-02-16,31.7,23.7,27.2,0.0,0.0,0.0,22.3,47.5,326,Mangalore,12.9141,74.856
2019-02-17,31.1,22.6,26.7,0.0,0.0,0.0,22.9,49.7,330,Mangalore,12.9141,74.856
2019-02-18,30.6,21.5,25.7,0.0,0.0,0.0,17.7,41.4,331,Mangalore,12.9141,74.856
2019-02-19,30.0,19.6,25.2,0.0,0.0,0.0,15.5,37.4,319,Mangalore,12.9141,74.856
2019-02-20,32.5,22.9,27.2,0.0,0.0,0.0,18.0,41.0,315,Mangalore,12.9141,74.856
2019-02-21,33.3,24.0,27.7,0.0,0.0,0.0,20.9,46.4,329,Mangalore,12.9141,74.856
2019-02-22,37.3,22.0,28.2,0.0,0.0,0.0,18.4,41.4,82,Mangalore,12.9141,74.856
2019-02-23,36.0,22.4,27.5,0.0,0.0,0.0,20.1,45.4,69,Mangalore,12.9141,74.856
2019-02-24,33.4,21.4,26.8,0.0,0.0,0.0,20.4,47.2,326,Mangalore,12.9141,74.856
2019-02-25,31.0,20.6,26.2,0.0,0.0,0.0,16.3,38.2,292,Mangalore,12.9141,74.856
2019-02-26,30.7,23.1,26.6,0.0,0.0,0.0,20.0,44.3,321,Mangalore,12.9141,74.856
2019-02-27,30.4,21.5,26.1,0.0,0.0,0.0,20.4,42.5,323,Mangalore,12.9141,74.856
2019-02-28,31.6,23.2,27.0,0.0,0.0,0.0,22.2,46.1,332,Mangalore,12.9141,74.856
2019-03-01,32.2,22.4,26.9,0.0,0.0,0.0,22.8,48.2,332,Mangalore,12.9141,74.856
2019-03-02,30.8,21.8,26.7,0.0,0.0,0.0,18.6,38.9,311,Mangalore,12.9141,74.856
2019-03-03,30.7,23.6,27.1,0.0,0.0,0.0,22.5,48.2,327,Mangalore,12.9141,74.856
2019-03-04,30.9,23.2,27.1,0.0,0.0,0.0,20.0,45.0,324,Mangalore,12.9141,74.856
2019-03-05,31.0,23.8,27.0,0.0,0.0,0.0,19.7,43.9,329,Mangalore,12.9141,74.856
2019-03-06,30.2,23.3,26.7,0.0,0.0,0.0,22.7,50.8,336,Mangalore,12.9141,74.856
2019-03-07,31.0,22.5,26.2,0.0,0.0,0.0,20.1,46.1,329,Mangalore,12.9141,74.856
2019-03-08,30.9,20.1,25.9,0.0,0.0,0.0,19.3,45.7,263,Mangalore,12.9141,74.856
2019-03-09,31.0,22.8,26.9,0.0,0.0,0.0,20.6,41.8,320,Mangalore,12.9141,74.856
2019-03-10,31.0,23.2,27.3,0.2,0.2,2.0,16.1,39.2,252,Mangalore,12.9141,74.856
2019-03-11,31.2,24.9,27.9,0.1,0.1,1.0,17.0,37.4,312,Mangalore,12.9141,74.856
